#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
24,Devouring Tide,5,,,Spell,,Common,,"Give all friendly minions +2/+2. If you have 5+ minions, give +3/+3 instead.",The swarm eats. The swarm GROWS.,
25,Titan Beetle,6,6,6,Minion,Insect,Common,"SWARM, GUARDIAN",SWARM. GUARDIAN. LAST WORDS: Summon three 1/1 Drones.,Big bug. Big wall. Big death. Big babies.,
26,Swarm Intelligence,6,,,Spell,,Common,,Draw a card for each friendly minion. Give all friendly minions +1/+1.,The hive thinks. The hive knows. The hive DRAWS SEVEN CARDS.,
27,Hive Colossus,7,5,5,Minion,Insect,Common,"SWARM, DEPLOY",SWARM. DEPLOY: Fill your board with 1/1 Drones. ALL friendly minions gain SWARM.,Everything on the board is now part of the hive. You're welcome.,
28,Extinction Swarm,7,,,Spell,,Common,,Destroy all enemy minions. Summon a 1/1 Drone for each minion destroyed.,They died. We bred. Circle of BUGS.,
29,Egg Sac,1,0,2,Minion,Insect,Common,LAST WORDS,LAST WORDS: Summon three 1/1 Drones.,So fragile. So full of BUGS.,
30,Hive Nexus,3,,,Structure,,Common,,Your Drones have +1/+1.,1/1 Drones? No. 2/2 Drones. The difference is extinction.,
31,Swarm Matriarch,4,3,5,Minion,Insect,Rare,,"Whenever a friendly minion dies, summon a 1/1 Drone.",Every death is a birth. The hive ALWAYS wins.,
32,Explosive Hatchlings,3,,,Spell,,Rare,,Summon three 1/1 Drones. Give them IMMOLATE: Deal 1 damage to all enemies.,"Suicide bomber bugs. Yes, really.",
33,Hivemind Synapse,4,,,Spell,,Rare,,Double the Attack and Health of all 1/1 minions you control.,1/1s become 2/2s. Seven 2/2s? That's 14/14. BUG MATH.,
34,Brood Pit,4,,,Structure,,Rare,,Start of Turn: Summon two 1/1 Drones. Your SWARM bonuses count Drones twice.,The factory never stops. The factory never SLEEPS.,
35,Parasite Injector,3,2,3,Minion,Insect,Rare,DEPLOY,"DEPLOY: Plant a Parasite on an enemy minion. At start of your turn, it takes 2 damage and you summon a 1/1 Drone.",It's not a hug. It's an INFESTATION.,
36,Swarm Frenzy,4,,,Spell,,Rare,,All friendly minions attack a random enemy. (They don't lose their attack for the turn.),CHARGE! ALL OF YOU! EVERYWHERE! AT ONCE!,
37,Queen's Champion,5,5,4,Minion,Insect,Rare,"SWARM, BARRIER","SWARM. BARRIER. Whenever this kills a minion, summon two 1/1 Drones.",Kills for the queen. Breeds for the queen. IS the queen's favorite.,
38,Adaptive Carapace,3,,,Spell,,Rare,,Give a minion +1/+1 for each other friendly minion. Give it GUARDIAN.,Full board? That's +6/+6 and GUARDIAN. Bug hug.,
39,Infestation,5,,,Spell,,Rare,,Summon 1/1 Drones on your opponent's board until it's full. Those Drones attack their own Hero each turn.,Congratulations! Your board is infested. And attacking YOU.,
40,Centipede Horror,6,4,4,Minion,Insect,Rare,DEPLOY,DEPLOY: Gain +1/+1 for each friendly minion that died this game.,It remembers every fallen drone. It carries their RAGE.,
41,Chitinous Evolution,5,,,Spell,,Rare,,Transform all 1/1 Drones you control into 3/3 Evolved Drones with SWARM.,Remember those harmless little bugs? They're 3/3s now. Whoops.,
42,Colony Collapse,6,,,Spell,,Rare,,Destroy all friendly minions. Deal 2 damage to all enemies for each minion destroyed.,The hive sacrifices itself. The enemy dies anyway.,
43,Brood Carrier,5,4,6,Minion,Insect,Rare,"GUARDIAN, LAST WORDS",GUARDIAN. LAST WORDS: Summon four 1/1 Drones with SWARM.,A walking nursery. A dying nursery is even scarier.,
44,Pheromone Bomb,3,,,Spell,,Rare,,"Give a minion ""LAST WORDS: Summon 1/1 Drones equal to this minion's Attack.""",Die big? Spawn big. Die REALLY big? Spawn a LOT.,
45,Spawning Chamber,5,,,Structure,,Rare,,"Whenever you summon a Drone, give all other Drones +1/+1.",Every drone makes every other drone stronger. Exponential bugs.,
46,THE BROOD MOTHER,8,6,8,Minion,Insect,Epic,"SWARM, DEPLOY",SWARM. DEPLOY: Fill your board with 2/2 Evolved Drones with SWARM. All friendly SWARM bonuses are doubled.,She doesn't breed drones. She breeds ARMIES.,"STARFORGE — After summoning 30 Drones: Transform into THE HIVE EMPRESS — 10/15, SWARM. DEPLOY: Fill your board with 4/4 Elite Drones with SWARM. ALL SWARM bonuses are tripled. Start of Turn: Summon Drones until your board is full."
47,Swarm Singularity,8,,,Spell,,Epic,,Merge ALL friendly minions into one. Its Attack and Health equal the total of all merged minions. It has all their keywords.,Seven become one. One becomes UNSTOPPABLE.,
48,Plague Bearer,6,3,5,Minion,Insect,Epic,,"Whenever a Drone is summoned, deal 1 damage to all enemies. Whenever a Drone dies, summon a 1/1 Drone.",Drones arrive. Enemies take damage. Drones die. More drones arrive. Loop forever.,
49,OVERMIND SKRYX,9,5,10,Minion,Insect,Legendary,"SWARM, DEPLOY","SWARM. DEPLOY: For the rest of the game, whenever you summon a Drone, give ALL friendly minions +1/+1. Drones have SWARM and SWIFT.",One mind controls them all. One mind says: MORE.,"STARFORGE — After summoning 50 Drones: Transform into SKRYX, THE INFINITE SWARM — 8/20, SWARM. Drones have SWARM, SWIFT, and LETHAL. Start of Turn: Fill your board with 1/1 Drones. Whenever a Drone attacks, summon another Drone."
50,THE LIVING HIVE,8,3,3,Minion,Insect,Legendary,LAST WORDS,LAST WORDS: Fill your board with copies of THE LIVING HIVE.,Kill it. Go ahead. See what happens. EVERY. SINGLE. TIME.,
