#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
13,Spectral Rigging,3,2,4,Minion,Pirate,Common,PHASE,PHASE. Gains +1/+1 whenever you play a stolen card.,Grows stronger on stolen goods. Like a proper pirate.,
14,Hijack,3,,,Spell,,Common,,Take control of an enemy minion with 2 or less Attack until end of turn. It gains BLITZ.,Borrowed. Indefinitely. With violence.,
15,Ghostwalk,3,,,Spell,,Common,,Give all friendly minions PHASE until your next turn.,The whole crew goes invisible. Board meeting adjourned.,
16,Swindler,3,3,3,Minion,Pirate,Common,DEPLOY,DEPLOY: Swap a card from your hand with a random card from your opponent's hand.,Fair trade? Absolutely NOT.,
17,Corsair Quartermaster,4,3,4,Minion,Pirate,Common,,Your Pirates have +1 Attack. Cards you stole cost (1) less.,Manages the loot AND the crew. Multi-tasking pirate.,
18,Wraithship Gunner,4,4,3,Minion,Pirate,Common,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 2 damage to a minion.,Shoots from between dimensions. You can't shoot back.,
19,Ransack,4,,,Spell,,Common,,Steal 2 random cards from your opponent's hand.,Grand theft card game.,
20,Evasive Maneuver,4,,,Spell,,Common,,Return all friendly minions to your hand. They cost (1) less. Draw a card.,Retreat isn't failure. It's REPOSITIONING.,
21,Phantom Duelist,5,5,4,Minion,Pirate,Common,"PHASE, SWIFT",PHASE. SWIFT.,Fights you. You can't fight back. Space pirate honor.,
22,Ghost Fleet Raider,5,4,5,Minion,Pirate,Common,DEPLOY,DEPLOY: Add 3 random cards from your opponent's class to your hand. They cost (2) less.,Loots first. Asks questions to the wreckage.,
23,Identity Theft,5,,,Spell,,Common,,Discover a copy of a card in your opponent's hand. It costs (0).,I'll be you today. But BETTER.,
24,Spectral Ambush,5,,,Spell,,Common,,Deal 3 damage to all enemy minions. Your PHASE and CLOAK minions are unaffected.,Our ghosts? Fine. Their everything? Wrecked.,
25,Phantom Dreadnought,6,6,5,Minion,Pirate,Common,"PHASE, CLOAK",PHASE. CLOAK. (Fully untargetable until it attacks.),You can't see it. You can't target it. You CAN panic.,
26,Grand Heist,6,,,Spell,,Common,,Copy your opponent's entire hand. Cards cost (3) more.,Your deck now. My deck too. Two decks. One winner.,
27,Ghost Galleon,7,7,6,Minion,Pirate,Common,"PHASE, DEPLOY",PHASE. DEPLOY: Summon two 3/3 Phantom Pirates with CLOAK.,A ghost ship crewed by ghost pirates. Obviously.,
28,Mutiny,7,,,Spell,,Common,,Take control of an enemy minion with the highest Attack. It gains PHASE.,Your best minion works for us now. And you can't even target it.,
29,Stowaway,1,1,1,Minion,Pirate,Common,"CLOAK, LAST WORDS",CLOAK. LAST WORDS: Add a random Legendary to your hand.,Tiny. Sneaky. Carrying a LEGENDARY? What?!,
30,Smuggler's Cache,2,,,Structure,,Common,,"Whenever you play a stolen card, draw a card.",Every stolen card comes with a free bonus card. Pirate loyalty program.,
31,First Mate Phantom,3,3,4,Minion,Pirate,Rare,PHASE,"PHASE. Whenever you play a stolen card, gain +2/+1.",Fueled by theft. Literally.,
32,Ghostly Sabotage,3,,,Spell,,Rare,,Destroy an enemy Structure or weapon. Add a copy of it to your hand. It costs (0).,Nice thing you had there. HAD.,
33,Spectral Assassin,4,5,2,Minion,Pirate,Rare,"CLOAK, LETHAL",CLOAK. LETHAL.,The last thing you never see.,
34,Contraband Market,4,,,Structure,,Rare,,Stolen cards in your hand cost (2) less.,Black market prices. Everything must go (into your deck).,
35,Phantom Swap,3,,,Spell,,Rare,,Swap a friendly minion with a random enemy minion. Your minion gains PHASE.,Theirs is yours. Yours is theirs. But yours is PHASE so ha.,
36,Corsair Ambush,5,,,Spell,,Rare,,Summon three 3/2 Phantom Pirates with CLOAK and SWIFT.,Three ghosts walk into your board. This isn't a joke.,
37,Ethereal Smuggler,4,4,3,Minion,Pirate,Rare,"PHASE, DEPLOY",PHASE. DEPLOY: Copy the top card of your opponent's deck. It costs (0) and has ECHO.,Steals it TWICE. Because once wasn't insulting enough.,
38,Haunt,3,,,Spell,,Rare,,Give an enemy minion -3 Attack. Gain +3 Attack on a friendly minion.,Drains their power. Fills yours. Hauntingly efficient.,
39,Wraithship Bombardment,6,,,Spell,,Rare,,Deal 2 damage to all enemies for each PHASE minion you control.,Ghost ships have ghost cannons. Ghost cannons do REAL damage.,
40,Fence,5,4,4,Minion,Pirate,Rare,DEPLOY,DEPLOY: Transform all stolen cards in your hand into Legendaries from your opponent's class.,Upgrades your stolen goods. Premium theft.,
41,Void Anchor,4,,,Structure,,Rare,,"Your PHASE minions have +2 Attack. Whenever a PHASE minion attacks, give it CLOAK.","Attacks, vanishes, attacks again. Ghost protocol.",
42,Ghostly Crew,6,4,4,Minion,Pirate,Rare,DEPLOY,DEPLOY: Summon a copy of each PHASE minion on your board.,Double the ghosts. Double the trouble. Zero the counterplay.,
43,Plunderstorm,5,,,Spell,,Rare,,Steal a random card from your opponent's hand for each Pirate you control.,More pirates = more theft. Simple pirate economics.,
44,Phase Stalker,5,5,3,Minion,Pirate,Rare,PHASE,"PHASE. Whenever this attacks, steal a random card from your opponent's hand.",Hits you AND robs you. Simultaneously.,
45,Netherstorm Portal,5,,,Structure,,Rare,,Start of Turn: Add a random card from your opponent's class to your hand. It costs (0).,Free daily delivery of someone else's cards.,
46,PHANTOM ADMIRAL,7,6,6,Minion,Pirate,Epic,"PHASE, DEPLOY","PHASE. DEPLOY: Give all friendly Pirates PHASE. Whenever you play a stolen card, summon a 3/3 Phantom Pirate with PHASE.",The Admiral doesn't command a fleet. The Admiral commands a GHOST fleet.,"STARFORGE — After playing 10 stolen cards: Transform into ADMIRAL OF THE DAMNED — 10/10, PHASE. ALL Pirates have PHASE. Whenever you play a card, steal a random card from your opponent's hand. Stolen cards cost (0)."
47,Dimensional Heist,8,,,Spell,,Epic,,Copy your opponent's entire deck and shuffle the copies into your deck. Cards copied cost (1) more.,Your deck is their deck. Their deck is still their deck. But you have MORE.,
48,Spectral Flagship,7,5,7,Minion,Pirate,Epic,PHASE,"PHASE. Your other Pirates have +2/+2 and PHASE. At end of turn, summon a 3/3 Phantom Pirate.",The flagship that can't be hit. Crewed by pirates that can't be hit. Firing cannons that DEFINITELY hit.,
49,CAPTAIN SHADOWVANE,8,7,6,Minion,Pirate,Legendary,"PHASE, DEPLOY","PHASE. DEPLOY: Steal 3 cards from your opponent's hand. They cost (0). For the rest of the game, whenever you play a stolen card, deal 2 damage to the enemy Hero.",He doesn't plunder ships. He plunders DIMENSIONS.,"STARFORGE — After stealing 15 cards: Transform into SHADOWVANE, THE GHOST KING — 12/10, PHASE. DEPLOY: Steal your opponent's ENTIRE hand. For the rest of the game, all cards you play are treated as ""stolen."" Stolen cards cost (0) and deal 3 damage to the enemy Hero when played."
50,THE NETHERSTORM,9,0,12,Minion,,Legendary,PHASE,"PHASE. Can't attack. Start of Turn: Steal a random card from your opponent's hand, deck, and discard pile. They cost (0). End of Turn: Summon a 4/4 Phantom Corsair with PHASE.",It's not a ship. It's not a storm. It's the END of your opponent's entire game plan.,
