#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
36,Apex Ambusher,4,5,3,Minion,Beast,Rare,"CLOAK, ADAPT",CLOAK. ADAPT.,It adapts BEFORE it ambushes. Terrifyingly prepared.,
37,Titan Egg,3,0,5,Minion,Beast,Rare,LAST WORDS,LAST WORDS: Summon a random Beast that costs (7) or more from your deck.,What's cooking? DOOM.,
38,Primeva's Blessing,5,,,Spell,,Rare,,"Give a Beast +5/+5 and ADAPT. It gains ""Can't be targeted by spells.""",The planet chose you. Good for you. Bad for them.,
39,Packmaster,4,3,4,Minion,,Rare,,Your Beasts have +1 Attack. Your ADAPT choices always include +3 Attack.,Teaches one lesson: hit harder.,
40,Symbiotic Growth,3,,,Spell,,Rare,,Choose a friendly minion. Give ALL other friendly minions its keywords.,Sharing is caring. Sharing LETHAL is terrifying.,
41,Ancient of Evolution,7,6,8,Minion,Beast,Rare,"ADAPT, ADAPT, DEPLOY",ADAPT. ADAPT. DEPLOY: Give all friendly Beasts +2/+2.,Seven million years of evolution. In one card.,
42,Devour,4,,,Spell,,Rare,,Destroy a minion. Give its Attack and Health to a friendly Beast.,You are what you eat. And you just ate a 7/7.,
43,Camouflage Stalker,5,5,4,Minion,Beast,Rare,"CLOAK, LETHAL",CLOAK. LETHAL.,You won't see it. You won't survive it.,
44,Regeneration Cocoon,3,,,Spell,,Rare,,"Give a minion ""At end of turn, restore this minion to full Health."" Lasts 3 turns.",Nap time. Infinite nap time.,
45,Primordial Pool,5,,,Structure,,Rare,,"Whenever you play a Beast, give it ADAPT. Your Beasts cost (1) less.",Everything that swims in here comes out... different.,
46,WORLDEATER HYDRA,8,8,8,Minion,Beast,Epic,"ADAPT, ADAPT, ADAPT","ADAPT. ADAPT. ADAPT. (Choose 3 bonuses.) Whenever this survives damage, ADAPT again.",Three heads. Each one evolves independently. Each one hates you independently.,"STARFORGE — After ADAPTing 10 times: Transform into HYDRA APEX — 15/15. Has ALL ADAPT bonuses permanently. Whenever this attacks, ADAPT twice. Can't be targeted by spells."
47,Genesis Wave,9,,,Spell,,Epic,,Fill your board with random Beasts from your deck. Give them all +3/+3 and ADAPT.,Planet Primeva says hello. With teeth.,
48,Metamorph Elder,7,5,7,Minion,Beast,Epic,,DEPLOY: Transform a friendly minion into a random minion that costs (3) more. Give it ADAPT twice.,Evolution isn't random here. It's an art form.,
49,WORLDSHAPER THORNA,9,8,8,Minion,,Legendary,DEPLOY,"DEPLOY: Give ALL friendly minions ADAPT three times. For the rest of the game, your Beasts have +2/+2 and ADAPT when played.",She shaped the world. Now she's reshaping YOUR board.,"STARFORGE — After playing 20 Beasts: Transform into THORNA, MOTHER OF ALL — 12/15. ALL minions you play are Beasts with ADAPT three times, +3/+3, and cost (2) less."
50,THE LIVING PLANET,10,10,10,Minion,Beast,Legendary,"GUARDIAN, ADAPT, ADAPT",GUARDIAN. ADAPT. ADAPT. LAST WORDS: Summon five 5/5 Beasts with ADAPT.,"It IS the ecosystem. Kill it, and the ecosystem fights back.",
