ID,Name,Cost,Type,Race,Rarity,Attack,Health,Tribe,Keywords,Card Text
"cog_tesla_coil","Tesla Coil",5,"STRUCTURE","COGSMITHS","RARE",,,"","DEPLOY","Deal 2 damage to a random enemy"
"cog_salvage_operative","Salvage Operative",4,"MINION","COGSMITHS","RARE",3,4,"MECH","SWIFT, DRAIN, DEPLOY","Summon a 3/3 Cog-Bot"
"cog_galvanize","Galvanize",6,"SPELL","COGSMITHS","RARE",3,3,"","SWIFT","Give all friendly Mechs +3/+3 and SWIFT"
"cog_ironclad_behemoth","Ironclad Behemoth",7,"MINION","COGSMITHS","RARE",7,8,"MECH","DOUBLE_STRIKE, LETHAL, DEPLOY","Deal 3 damage to a random enemy"
"cog_upgrade_station","Upgrade Station",3,"STRUCTURE","COGSMITHS","RARE",,,"","DEPLOY","Deal 3 damage to a random enemy"
"cog_disassemble","Disassemble",5,"SPELL","COGSMITHS","RARE",,,"","","Destroy a minion. If it was a Mech, summon two 3/3 Cog-Bots"
"cog_arc_welder","Arc Welder",6,"MINION","COGSMITHS","RARE",4,5,"MECH","BARRIER, DEPLOY","Deal damage equal to the number of Mechs you control to all enemies"
"cog_mech_fabricator","Mech Fabricator",7,"MINION","COGSMITHS","RARE",4,9,"MECH","GUARDIAN, DEPLOY","Deal 3 damage to a random enemy"
"cog_clockwork_leviathan","CLOCKWORK LEVIATHAN",8,"MINION","COGSMITHS","EPIC",6,9,"MECH","DRAIN, DEPLOY, BLITZ, BARRIER","GUARDIAN, DOUBLE STRIKE. Your other Mechs have +2/+2 and GUARDIAN."
"cog_quantum_fabricator","Quantum Fabricator",7,"MINION","COGSMITHS","EPIC",5,6,"","GUARDIAN, DEPLOY","Deal 3 damage to a random enemy"
"cog_perpetual_engine","Perpetual Engine",6,"MINION","COGSMITHS","EPIC",3,7,"MECH","DRAIN, DEPLOY","Deal 3 damage to a random enemy"
"cog_the_infinity_coil","THE INFINITY COIL",8,"MINION","COGSMITHS","LEGENDARY",0,9,"MECH","DEPLOY, SWIFT","Summon a token"
"cog_constructor_supreme","CONSTRUCTOR SUPREME",9,"MINION","COGSMITHS","LEGENDARY",7,8,"","BLITZ, DEPLOY, BARRIER","Transform all Mechs in your hand and deck into 8/8s. Give them BARRIER"
"lum_temple_acolyte","Temple Acolyte",1,"MINION","LUMINAR","COMMON",1,4,"","DOUBLE_STRIKE, DEPLOY","Deal 1 damage to a random enemy"
"lum_sunbeam_sprite","Sunbeam Sprite",1,"MINION","LUMINAR","COMMON",1,3,"ELEMENTAL","DRAIN, DEPLOY","Draw a card"
"lum_glowing_moth","Glowing Moth",1,"MINION","LUMINAR","COMMON",1,2,"ELEMENTAL","BARRIER, DOUBLE_STRIKE, DEPLOY","BARRIER. Gain +2/+2"
"lum_angelic_wings","Angelic Wings",1,"SPELL","LUMINAR","COMMON",1,2,"","","Give a minion +1/+2"
"lum_radiant_shield","Radiant Shield",1,"SPELL","LUMINAR","COMMON",0,3,"","BARRIER","Give a minion +0/+3 and BARRIER"
"lum_dawn_priest","Dawn Priest",2,"MINION","LUMINAR","COMMON",2,4,"","DRAIN, DEPLOY","Restore 2 Health to your Hero"
"lum_sunstone_cleric","Sunstone Cleric",2,"MINION","LUMINAR","COMMON",2,3,"","GUARDIAN, DEPLOY","Restore 2 Health to all friendly minions"
"lum_pilgrim_of_sol","Pilgrim of Sol",2,"MINION","LUMINAR","COMMON",1,5,"","DEPLOY","Deal 1 damage to a random enemy"
"lum_sanctify","Sanctify",2,"SPELL","LUMINAR","COMMON",1,1,"","","Restore 3 Health to a minion. Give it +1/+1"
"lum_blessed_arrow","Blessed Arrow",2,"SPELL","LUMINAR","COMMON",,,"","","Deal 2 damage. If your Hero is at full Health, deal 4 instead"
"lum_lightsworn_guardian","Lightsworn Guardian",3,"MINION","LUMINAR","COMMON",2,6,"","GUARDIAN, DRAIN, DEPLOY","GUARDIAN. Gain +1/+1"
"lum_penitent_monk","Penitent Monk",3,"MINION","LUMINAR","COMMON",3,4,"","DOUBLE_STRIKE","DRAIN"
"lum_beacon_of_hope","Beacon of Hope",3,"MINION","LUMINAR","COMMON",2,5,"","DEPLOY","Restore 1 Health to all friendly minions"
"lum_purifying_light","Purifying Light",3,"SPELL","LUMINAR","COMMON",,,"","","Restore 4 Health. Draw a card"
"lum_sunforged_blade","Sunforged Blade",3,"SPELL","LUMINAR","COMMON",3,0,"","DRAIN","Give a minion +3 Attack and DRAIN this turn"
"lum_halo_sentinel","Halo Sentinel",4,"MINION","LUMINAR","COMMON",3,5,"","SWIFT, LAST_WORDS","BARRIER. LAST WORDS: Give a random friendly minion BARRIER"
"lum_daybreak_charger","Daybreak Charger",4,"MINION","LUMINAR","COMMON",4,4,"","BLITZ, DRAIN, DEPLOY","Draw a card"
"lum_radiance_weaver","Radiance Weaver",4,"MINION","LUMINAR","COMMON",3,5,"","DEPLOY","After you cast a healing spell, summon a 2/2 Light Elemental"
"lum_solar_flare","Solar Flare",4,"SPELL","LUMINAR","COMMON",,,"","","Deal 3 damage to all enemy minions"
"lum_blinding_burst","Blinding Burst",4,"SPELL","LUMINAR","COMMON",,,"","","Deal 2 damage to all enemies. Restore 2 Health to your Hero"
"lum_cathedral_guard","Cathedral Guard",5,"MINION","LUMINAR","COMMON",4,7,"","DRAIN, GUARDIAN, DEPLOY","Deal 2 damage to a random enemy"
"lum_luminar_templar","Luminar Templar",5,"MINION","LUMINAR","COMMON",5,6,"","BARRIER, DEPLOY","Gain GUARDIAN and +0/+3"
"lum_consecrate","Consecrate",5,"SPELL","LUMINAR","COMMON",1,1,"","","Restore 5 Health to your Hero. Give all friendly minions +1/+1"
"lum_martyrs_gift","Martyr's Gift",5,"MINION","LUMINAR","COMMON",3,7,"","DRAIN, DEPLOY","Restore 5 Health to your Hero"
"lum_solhaven_crusader","Solhaven Crusader",6,"MINION","LUMINAR","COMMON",6,7,"","BARRIER, SWIFT, DEPLOY","BARRIER. Gain +2/+2"
"lum_holy_nova","Holy Nova",6,"SPELL","LUMINAR","COMMON",,,"","","Deal 3 damage to all enemies. Restore 3 Health to all friendly characters"
"lum_sunlit_protector","Sunlit Protector",7,"MINION","LUMINAR","COMMON",6,8,"","GUARDIAN, BLITZ, DRAIN, DEPLOY","Deal 3 damage to a random enemy"
"lum_dawns_embrace","Dawn's Embrace",7,"SPELL","LUMINAR","COMMON",,,"","","Fully restore your Hero's Health. Trigger all friendly effects"
"lum_luminous_wisp","Luminous Wisp",1,"MINION","LUMINAR","COMMON",0,2,"ELEMENTAL","LAST_WORDS","LAST WORDS: Restore 2 Health to your Hero"
"lum_hallowed_ground","Hallowed Ground",3,"STRUCTURE","LUMINAR","COMMON",,,"","DEPLOY","Draw a card"
"lum_high_priestess_of_sol","High Priestess of Sol",4,"MINION","LUMINAR","RARE",3,6,"","DEPLOY","Whenever you heal a character, give a random friendly minion +1/+1"
"lum_divine_intervention","Divine Intervention",5,"SPELL","LUMINAR","RARE",,,"","GUARDIAN","Fully restore a minion's Health. Give it BARRIER and GUARDIAN"
"lum_radiant_aegis","Radiant Aegis",3,"MINION","LUMINAR","RARE",2,7,"","GUARDIAN, DOUBLE_STRIKE, DEPLOY","Draw a card"
"lum_sols_judgment","Sol's Judgment",7,"SPELL","LUMINAR","RARE",,,"","","Deal damage to all enemies equal to the total Health you've healed this game. (Max 15.)"
"lum_lightbringer","Lightbringer",5,"MINION","LUMINAR","RARE",4,5,"","DEPLOY","Deal 5 damage to a random enemy"
"lum_chalice_of_renewal","Chalice of Renewal",4,"STRUCTURE","LUMINAR","RARE",,,"","DEPLOY","Start of Turn: Restore 2 Health to your Hero"
"lum_empyreal_knight","Empyreal Knight",6,"MINION","LUMINAR","RARE",5,7,"","BARRIER, GUARDIAN, DEPLOY","BARRIER. Restore 3 Health to all friendly characters"
"lum_absolution","Absolution",3,"SPELL","LUMINAR","RARE",,,"","","Destroy a minion with 3 or less Attack. Restore Health equal to its Attack to your Hero"
"lum_sunfire_phoenix","Sunfire Phoenix",5,"MINION","LUMINAR","RARE",4,5,"ELEMENTAL","DRAIN, BLITZ, DEPLOY","DRAIN. Restore 4 Health to your Hero"
"lum_celestial_choir","Celestial Choir",6,"MINION","LUMINAR","RARE",3,4,"","DRAIN, DEPLOY","Summon two 2/2 Light Elementals with Gain +1/+1"
"lum_resurrect","Resurrect",7,"SPELL","LUMINAR","RARE",,,"","BARRIER","Summon a random friendly minion that died this game. Restore it to full Health. Give it BARRIER"
"lum_beacon_of_judgment","Beacon of Judgment",6,"MINION","LUMINAR","RARE",4,8,"","DOUBLE_STRIKE, DEPLOY","GUARDIAN. Whenever this minion is healed, deal 2 damage to a random enemy"
"lum_solhaven_paladin","Solhaven Paladin",4,"MINION","LUMINAR","RARE",3,5,"","GUARDIAN, BARRIER, DEPLOY","Draw a card"
"lum_purge_the_shadows","Purge the Shadows",5,"SPELL","LUMINAR","RARE",,,"","BARRIER","Deal 3 damage to all enemy minions"
"lum_eternal_flame","Eternal Flame",3,"STRUCTURE","LUMINAR","RARE",,,"","DEPLOY","Whenever a friendly minion with dies, summon a 2/2 Light Elemental"
"lum_archons_chosen","ARCHON'S CHOSEN",8,"MINION","LUMINAR","EPIC",6,9,"","DOUBLE_STRIKE, DRAIN, LETHAL, DEPLOY, DOUBLE_STRIKE, BARRIER, SWIFT","BARRIER, GUARDIAN, DRAIN. ILLUMINATE: Fully heal your Hero."
"lum_sunstorm","Sunstorm",8,"SPELL","LUMINAR","EPIC",,,"","","Deal 5 damage to all enemies. Restore 5 Health to all friendly characters"
"lum_radiant_fortress","Radiant Fortress",6,"MINION","LUMINAR","EPIC",4,11,"","DRAIN, GUARDIAN, DEPLOY","GUARDIAN. Your Hero can't take more than 3 damage per attack. Gain +0/+3"
"lum_solarius_the_undying_light","SOLARIUS, THE UNDYING LIGHT",9,"MINION","LUMINAR","LEGENDARY",6,11,"","BLITZ, DRAIN, DEPLOY, BARRIER, GUARDIAN, DRAIN, SWIFT","Give all friendly minions +2/+2"
"lum_dawns_last_prophet","DAWN'S LAST PROPHET",7,"MINION","LUMINAR","LEGENDARY",5,6,"","SWIFT, DEPLOY","Deal 3 damage to a random enemy"
"pyr_ember_imp","Ember Imp",1,"MINION","PYROCLAST","COMMON",2,2,"ELEMENTAL","DOUBLE_STRIKE, DEPLOY","Deal 1 damage to all enemies"
"pyr_cinder_sprite","Cinder Sprite",1,"MINION","PYROCLAST","COMMON",1,3,"ELEMENTAL","DEPLOY","Deal 1 damage to the enemy Hero"
"pyr_flamelick","Flamelick",1,"SPELL","PYROCLAST","COMMON",,,"","","Deal 2 damage to the enemy Hero"
"pyr_firestarter","Firestarter",1,"MINION","PYROCLAST","COMMON",1,2,"ELEMENTAL","SWIFT, GUARDIAN, DEPLOY","BLITZ. Deal 1 damage to the enemy Hero"
"pyr_ignite","Ignite",1,"SPELL","PYROCLAST","COMMON",,,"","","Deal 1 damage to a minion. If it dies, deal 2 damage to the enemy Hero"
"pyr_ashwalker","Ashwalker",2,"MINION","PYROCLAST","COMMON",3,3,"","DOUBLE_STRIKE, DEPLOY","Deal 2 damage to the enemy Hero"
"pyr_magma_hound","Magma Hound",2,"MINION","PYROCLAST","COMMON",2,4,"ELEMENTAL","BLITZ","SWIFT"
"pyr_searing_touch","Searing Touch",2,"SPELL","PYROCLAST","COMMON",,,"","","Deal 3 damage to a minion"
"pyr_fire_cultist","Fire Cultist",2,"MINION","PYROCLAST","COMMON",2,3,"","SWIFT, DEPLOY","Deal 1 damage to ALL characters"
"pyr_pyro_bolt","Pyro Bolt",2,"SPELL","PYROCLAST","COMMON",,,"","","Deal 3 damage to the enemy Hero"
"pyr_lava_lurker","Lava Lurker",3,"MINION","PYROCLAST","COMMON",3,4,"ELEMENTAL","BLITZ, DEPLOY","Deal 2 damage to the minion that killed this"
"pyr_scorched_fanatic","Scorched Fanatic",3,"MINION","PYROCLAST","COMMON",4,3,"","LETHAL, DEPLOY","Deal 3 damage to the enemy Hero"
"pyr_flame_geyser","Flame Geyser",3,"SPELL","PYROCLAST","COMMON",,,"","","Deal 2 damage. Summon a 2/1 Ember Elemental"
"pyr_volcanic_shard","Volcanic Shard",3,"MINION","PYROCLAST","COMMON",2,5,"ELEMENTAL","DRAIN, DEPLOY","Deal 2 damage split randomly among all enemies"
"pyr_fuel_the_flames","Fuel the Flames",3,"SPELL","PYROCLAST","COMMON",,,"","","Your effects deal 2 extra damage this turn. Draw a card"
"pyr_charred_berserker","Charred Berserker",3,"MINION","PYROCLAST","COMMON",5,2,"","GUARDIAN, DRAIN, DEPLOY","SWIFT. Deal 1 damage to all enemies"
"pyr_inferno_caller","Inferno Caller",4,"MINION","PYROCLAST","COMMON",4,4,"","LETHAL, DEPLOY","Deal 2 damage to two random enemies"
"pyr_blazing_chariot","Blazing Chariot",4,"MINION","PYROCLAST","COMMON",4,5,"ELEMENTAL","BLITZ, DOUBLE_STRIKE, DEPLOY","BLITZ. Deal 2 damage to the enemy Hero"
"pyr_wall_of_flame","Wall of Flame",4,"SPELL","PYROCLAST","COMMON",,,"","","Deal 2 damage to all enemies"
"pyr_eruption","Eruption",4,"SPELL","PYROCLAST","COMMON",,,"","","Deal 4 damage to a minion. Deal 1 damage to adjacent minions"
"pyr_magma_giant","Magma Giant",5,"MINION","PYROCLAST","COMMON",5,6,"ELEMENTAL","BLITZ, DEPLOY","Deal 3 damage to the enemy Hero"
"pyr_pyroclastic_flow","Pyroclastic Flow",5,"SPELL","PYROCLAST","COMMON",,,"","","Deal 3 damage to all enemy minions"
"pyr_furnace_fiend","Furnace Fiend",5,"MINION","PYROCLAST","COMMON",4,5,"ELEMENTAL","DEPLOY","After a friendly minion dies from , gain +2/+2"
"pyr_rain_of_fire","Rain of Fire",5,"SPELL","PYROCLAST","COMMON",,,"","","Deal 1 damage to all enemies. Repeat for each friendly minion that died this turn"
"pyr_infernal_juggernaut","Infernal Juggernaut",6,"MINION","PYROCLAST","COMMON",6,6,"ELEMENTAL","BLITZ, LETHAL, DEPLOY","SWIFT. Deal 3 damage to all enemies"
"pyr_hellfire_breath","Hellfire Breath",6,"SPELL","PYROCLAST","COMMON",,,"","","Deal 5 damage to all characters"
"pyr_ashen_colossus","Ashen Colossus",7,"MINION","PYROCLAST","COMMON",7,8,"ELEMENTAL","DOUBLE_STRIKE, DEPLOY","Deal 4 damage to all enemies"
"pyr_doomsday_meteor","Doomsday Meteor",7,"SPELL","PYROCLAST","COMMON",,,"","","Deal 7 damage to a minion and 3 damage to all other enemies"
"pyr_kindling","Kindling",1,"MINION","PYROCLAST","COMMON",1,2,"ELEMENTAL","SWIFT, DEPLOY","Deal 2 damage to the enemy Hero"
"pyr_ash_pit","Ash Pit",2,"STRUCTURE","PYROCLAST","COMMON",,,"","DEPLOY","Whenever a friendly minion dies, deal 1 damage to the enemy Hero"
"pyr_flamecaller_disciple","Flamecaller Disciple",3,"MINION","PYROCLAST","RARE",3,4,"","DEPLOY","Draw a card"
"pyr_volcanic_ritual","Volcanic Ritual",4,"SPELL","PYROCLAST","RARE",,,"","","Destroy a friendly minion. Deal damage equal to its Attack to all enemies"
"pyr_inferno_engine","Inferno Engine",5,"MINION","PYROCLAST","RARE",4,6,"MECH","DEPLOY","Whenever a friendly minion with dies, summon a 3/2 Flame Elemental with Deal 1 damage to the enemy Hero"
"pyr_pyromaniac","Pyromaniac",2,"MINION","PYROCLAST","RARE",2,4,"","DEPLOY","Whenever you deal damage to the enemy Hero with a spell, gain +1/+1"
"pyr_backdraft","Backdraft",3,"SPELL","PYROCLAST","RARE",,,"","","Deal 4 damage to a minion. If it dies, deal 4 damage to the enemy Hero"
"pyr_living_bomb","Living Bomb",3,"MINION","PYROCLAST","RARE",0,5,"","DRAIN, DOUBLE_STRIKE, DEPLOY","GUARDIAN. Deal 4 damage to ALL characters"
"pyr_cinder_storm","Cinder Storm",5,"SPELL","PYROCLAST","RARE",,,"","","Deal 8 damage randomly split among all enemies"
"pyr_forge_of_ignaros","Forge of Ignaros",4,"STRUCTURE","PYROCLAST","RARE",,,"","DEPLOY","Start of Turn: Deal 2 damage to the enemy Hero"
"pyr_kamikaze_construct","Kamikaze Construct",4,"MINION","PYROCLAST","RARE",7,2,"","SWIFT, DOUBLE_STRIKE, DEPLOY","BLITZ. Deal 3 damage to all enemies"
"pyr_smoldering_remains","Smoldering Remains",2,"SPELL","PYROCLAST","RARE",,,"","","Deal 3 damage to a random enemy"
"pyr_firestorm_drake","Firestorm Drake",6,"MINION","PYROCLAST","RARE",5,6,"ELEMENTAL","DOUBLE_STRIKE, SWIFT, DEPLOY","SWIFT. Deal 3 damage to a minion. If it dies, deal excess to the enemy Hero"
"pyr_volcanic_heart","Volcanic Heart",4,"SPELL","PYROCLAST","RARE",,,"","","Give a minion ""Deal damage equal to this minion's Attack to all enemies."""
"pyr_emberstrike_assassin","Emberstrike Assassin",3,"MINION","PYROCLAST","RARE",4,2,"","DOUBLE_STRIKE, GUARDIAN, DEPLOY","CLOAK. Deal 3 damage to the enemy Hero"
"pyr_molten_armor","Molten Armor",3,"SPELL","PYROCLAST","RARE",2,2,"","","Give a minion +2/+2 and ""Deal 3 damage to the minion that killed this."""
"pyr_infernal_pact","Infernal Pact",5,"STRUCTURE","PYROCLAST","RARE",,,"","DEPLOY","Whenever you deal damage to the enemy Hero on your turn, deal 1 additional damage"
"pyr_magma_tyrant","MAGMA TYRANT",7,"MINION","PYROCLAST","EPIC",7,7,"ELEMENTAL","DOUBLE_STRIKE, DEPLOY, BARRIER","BARRIER. When ANY minion dies, deal 3 damage to all enemies. IMMOLATE: Deal 8 damage to all enemies."
"pyr_supernova","Supernova",8,"SPELL","PYROCLAST","EPIC",,,"","","Destroy ALL minions. Deal damage to the enemy Hero equal to the number of minions destroyed"
"pyr_doomfire_sentinel","Doomfire Sentinel",6,"MINION","PYROCLAST","EPIC",5,6,"ELEMENTAL","BARRIER, DEPLOY","BLITZ. Whenever this attacks and kills a minion, deal its Attack as damage to the enemy Hero"
"pyr_phoenix_eternus","PHOENIX ETERNUS",6,"MINION","PYROCLAST","LEGENDARY",5,6,"ELEMENTAL","SWIFT, DEPLOY, GUARDIAN, BLITZ","BARRIER, SWIFT. LAST WORDS: Return to play with full Health and +3/+3. Costs (0)."
"pyr_ashyr_the_world_burner","ASHYR, THE WORLD BURNER",8,"MINION","PYROCLAST","LEGENDARY",6,7,"","BLITZ, GUARDIAN, DEPLOY","Deal 3 damage to all enemy minions"
"void_void_wisp","Void Wisp",1,"MINION","VOIDBORN","COMMON",1,3,"VOID","DEPLOY","Deal 1 damage to a random enemy"
"void_null_shard","Null Shard",1,"SPELL","VOIDBORN","COMMON",,,"","","Deal 1 damage. The target's owner discards a random card"
"void_shadow_feeder","Shadow Feeder",1,"MINION","VOIDBORN","COMMON",2,2,"VOID","DEPLOY","Gains +1/+1 whenever your opponent discards a card"
"void_entropic_touch","Entropic Touch",1,"SPELL","VOIDBORN","COMMON",,,"","","A random card in your opponent's hand costs (2) more"
"void_void_initiate","Void Initiate",1,"MINION","VOIDBORN","COMMON",1,3,"","LAST_WORDS","LAST WORDS: Your opponent's next card costs (1) more"
"void_nullheim_stalker","Nullheim Stalker",2,"MINION","VOIDBORN","COMMON",3,3,"VOID","DRAIN","CLOAK"
"void_mind_fracture","Mind Fracture",2,"SPELL","VOIDBORN","COMMON",,,"","","Deal 3 damage to a random enemy"
"void_rift_walker","Rift Walker",2,"MINION","VOIDBORN","COMMON",2,4,"VOID","CLOAK, DEPLOY","Deal 2 damage to a random enemy"
"void_void_drain","Void Drain",2,"SPELL","VOIDBORN","COMMON",,,"","","Deal 2 damage. the target if it dies"
"void_entropy_agent","Entropy Agent",2,"MINION","VOIDBORN","COMMON",2,3,"","LETHAL, DEPLOY","Deal 1 damage to a random enemy"
"void_abyssal_lurker","Abyssal Lurker",3,"MINION","VOIDBORN","COMMON",3,5,"VOID","DEPLOY","Draw a card"
"void_thought_shredder","Thought Shredder",3,"MINION","VOIDBORN","COMMON",2,4,"","LETHAL, DEPLOY","Your opponent discards a random card. Draw a card"
"void_nullify","Nullify",3,"SPELL","VOIDBORN","COMMON",,,"","CLOAK","Deal 2 damage"
"void_void_tendril","Void Tendril",3,"MINION","VOIDBORN","COMMON",2,5,"VOID","BARRIER, DEPLOY","Deal 3 damage to a random enemy"
"void_creeping_dread","Creeping Dread",3,"SPELL","VOIDBORN","COMMON",,,"","","All cards in your opponent's hand cost (1) more until your next turn"
"void_hollow_shade","Hollow Shade",3,"MINION","VOIDBORN","COMMON",4,3,"VOID","SWIFT","Draw a card"
"void_reality_ripper","Reality Ripper",4,"MINION","VOIDBORN","COMMON",4,5,"VOID","DOUBLE_STRIKE, DEPLOY","Draw a card"
"void_void_sentinel","Void Sentinel",4,"MINION","VOIDBORN","COMMON",3,6,"VOID","CLOAK, DEPLOY","Deal 4 damage to a random enemy"
"void_dimensional_rift","Dimensional Rift",4,"SPELL","VOIDBORN","COMMON",,,"","","an enemy minion. Your opponent draws a card"
"void_psychic_assault","Psychic Assault",4,"SPELL","VOIDBORN","COMMON",,,"","","Deal damage to the enemy Hero equal to the number of cards they've lost this game. (Max 8.)"
"void_abyssal_maw","Abyssal Maw",5,"MINION","VOIDBORN","COMMON",5,6,"VOID","CLOAK, DEPLOY","Deal 2 damage to a random enemy"
"void_null_field","Null Field",5,"SPELL","VOIDBORN","COMMON",,,"","","Silence all enemy minions. (Remove all keywords and card text.)"
"void_void_harvester","Void Harvester",5,"MINION","VOIDBORN","COMMON",4,5,"","DEPLOY","Whenever your opponent discards a card, gain +2/+2"
"void_erasure","Erasure",5,"SPELL","VOIDBORN","COMMON",,,"","CLOAK","Deal 3 damage to all enemy minions"
"void_null_leviathan","Null Leviathan",6,"MINION","VOIDBORN","COMMON",6,7,"VOID","DEPLOY","Deal 6 damage to a random enemy"
"void_annihilate","Annihilate",6,"SPELL","VOIDBORN","COMMON",,,"","LETHAL","Deal 4 damage to all enemy minions"
"void_oblivion_wraith","Oblivion Wraith",7,"MINION","VOIDBORN","COMMON",7,8,"VOID","GUARDIAN, DEPLOY","Deal 3 damage to a random enemy"
"void_consume_reality","Consume Reality",7,"SPELL","VOIDBORN","COMMON",,,"","","the top 5 cards of your opponent's deck. Draw 2 cards"
