#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
19,Power Core,4,,,Spell,,Common,,"Draw 2 cards. If you control a Mech, draw 3 instead.",It's not a battery. It's a POWER CORE. Huge difference.,
20,Steel Rampart,4,2,7,Minion,Mech,Common,"GUARDIAN, UPGRADE (2)",GUARDIAN. UPGRADE (2): Gain +3/+3.,They shall not pass. Mostly because it's blocking the door.,
21,Furnace Golem,5,5,4,Minion,Mech,Common,UPGRADE (2),UPGRADE (2): Gain BARRIER and +2/+2.,"Runs a little hot. Okay, a LOT hot.",
22,Cranky Mechanic,5,4,5,Minion,,Common,DEPLOY,DEPLOY: Give all friendly Mechs +1 Attack.,Touch my wrench and I'll touch your face.,
23,Prototype Alpha,5,4,4,Minion,Mech,Common,DEPLOY,DEPLOY: Discover a Mech. (Choose 1 of 3.),Version 1.0. Known bugs: all of them.,
24,Iron Curtain,5,,,Spell,,Common,,Give all friendly minions +0/+3 and GUARDIAN.,Privacy policy: nobody gets through.,
25,Chrome Charger,6,6,5,Minion,Mech,Common,BLITZ,BLITZ.,0 to 60 in 0. Just... 0.,
26,Bronze Colossus,6,5,7,Minion,Mech,Common,"GUARDIAN, UPGRADE (3)",GUARDIAN. UPGRADE (3): Gain DOUBLE STRIKE.,Big. Bronze. Beautiful.,
27,War Machine,7,7,6,Minion,Mech,Common,SWIFT,SWIFT. DEPLOY: Deal 3 damage to all enemy minions.,Diplomacy was never an option.,
28,Exhaust Cannon,7,,,Spell,,Common,,Deal 4 damage to all enemies. Deal 2 more for each Mech you control.,Fire EVERYTHING.,
29,Titanium Fortress,8,4,12,Minion,Mech,Common,"GUARDIAN, BARRIER",GUARDIAN. BARRIER. Can't attack.,Not going anywhere. Ever.,
30,Scrapyard Salvager,2,3,1,Minion,Mech,Common,SALVAGE,SALVAGE. (LAST WORDS: Draw a card.),Trash day is payday.,
31,Gear Master,4,3,5,Minion,,Rare,,Your Mechs cost (1) less and have +1/+1.,He doesn't build Mechs. He raises them.,
32,Assembly Foreman,3,2,4,Minion,,Rare,,"After you play a Mech, give it +1/+1.",Inspection passed. Barely.,
33,Overclocked Engine,5,4,6,Minion,Mech,Rare,"DOUBLE STRIKE, UPGRADE (3)",DOUBLE STRIKE. UPGRADE (3): Gain +3 Attack.,"The warranty is void. So, so void.",
34,Reclamation Bay,3,,,Structure,,Rare,,"Whenever a friendly Mech dies, add a copy of it to your hand. It costs (1) more.",Nothing stays dead on Mechronis. Just more expensive.,
35,Chromatic Alloy,2,,,Spell,,Rare,,Give a Mech +1/+1 for each other Mech you control.,Strength in numbers. Literally.,
36,Titan Assembler,6,5,5,Minion,,Rare,DEPLOY,DEPLOY: Summon a copy of a random friendly Mech.,"CTRL+C, CTRL+V, CTRL+DOMINATE.",
37,Emergency Protocol,4,,,Spell,,Rare,,Give all friendly Mechs BARRIER and +2 Health.,"SHIELDS UP! I repeat, SHIELDS UP!",
38,Tesla Coil,5,,,Structure,,Rare,,End of Turn: Deal 2 damage to a random enemy for each Mech you control.,Zap. Zap. Zap. Zap. Zap.,
39,Salvage Operative,4,3,3,Minion,Mech,Rare,"SALVAGE, LAST WORDS",SALVAGE. LAST WORDS: Summon a 3/3 Cog-Bot.,"Dies, draws, deploys. Efficiency!",
40,Galvanize,6,,,Spell,,Rare,,Give all friendly Mechs +3/+3 and SWIFT.,LET'S. GO.,
41,Ironclad Behemoth,7,7,7,Minion,Mech,Rare,"GUARDIAN, BARRIER",GUARDIAN. BARRIER.,The immovable object AND the unstoppable force.,
42,Upgrade Station,3,,,Structure,,Rare,,Your UPGRADE effects cost (1) less.,Now with express checkout!,
43,Disassemble,5,,,Spell,,Rare,,"Destroy a minion. If it was a Mech, summon two 3/3 Cog-Bots.",Deconstructive criticism.,
44,Arc Welder,6,4,4,Minion,Mech,Rare,DEPLOY,DEPLOY: Deal damage equal to the number of Mechs you control to all enemies.,She welds arcs. And faces.,
45,Mech Fabricator,7,4,8,Minion,Mech,Rare,DEPLOY,DEPLOY: Fill your hand with 1/1 Cog-Bots that cost (0).,Loading... loading... loading... done!,
46,CLOCKWORK LEVIATHAN,8,6,8,Minion,Mech,Epic,GUARDIAN,GUARDIAN. Your other Mechs have +2/+2.,"The gears of war turn slowly, but they crush everything.","STARFORGE (5): Transform into CLOCKWORK COLOSSUS — 10/12, GUARDIAN, DOUBLE STRIKE. Your other Mechs have +4/+4 and GUARDIAN."
47,Quantum Fabricator,7,5,5,Minion,,Epic,DEPLOY,DEPLOY: Summon copies of all Mechs that died this game. (Fills your board.),Death is just a temporary manufacturing delay.,
48,Perpetual Engine,6,3,6,Minion,Mech,Epic,UPGRADE (3),End of Turn: Summon a random Mech from your deck. UPGRADE (3): Summon 2 instead.,It runs on nothing. Scientists are baffled.,
49,THE INFINITY COIL,8,0,8,Minion,Mech,Legendary,,End of Turn: Summon a 2/2 Cog-Bot. Your Mechs cost (1) less.,Infinite bots. Infinite value. Infinite FUN.,STARFORGE — After summoning 15 Cog-Bots: Transform into THE OMEGA COIL — 0/20. End of Turn: Fill your board with 5/5 Mech Titans. Your Mechs cost (3) less and have SWIFT.
50,CONSTRUCTOR SUPREME,9,7,7,Minion,,Legendary,DEPLOY,DEPLOY: Transform all Mechs in your hand and deck into 8/8s. Give them BARRIER.,She doesn't build machines. She builds LEGENDS.,
