id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
pc_spectral_rigging,Spectral Rigging,Phantom Corsairs,Minion,Pirate,Common,3,2,4,"Drain, Last Words",Gains +1/+1 whenever you play a stolen card. LAST WORDS: Give a random friendly Pirate PHASE,Grows on stolen goods. Passes the ghost touch when it falls.,True,CORE,
pc_hijack,Hijack,Phantom Corsairs,Spell,,Common,3,,,,Take control of an enemy minion with 2 or less Attack until end of turn. It gains BLITZ,Borrowed. Indefinitely. With violence.,True,CORE,
pc_ghostwalk,Ghostwalk,Phantom Corsairs,Spell,,Common,3,,,,Deal 2 damage,The whole crew goes invisible. Board meeting adjourned.,True,CORE,
pc_swindler,Swindler,Phantom Corsairs,Minion,Pirate,Common,3,3,4,"Lethal, Deploy",Draw a card,Fair trade? Absolutely NOT.,True,CORE,
pc_corsair_quartermaster,Corsair Quartermaster,Phantom Corsairs,Minion,Pirate,Common,4,3,5,Deploy,Deal 4 damage to a random enemy,Manages the loot AND the crew. Multi-tasking pirate.,True,CORE,
pc_wraithship_gunner,Wraithship Gunner,Phantom Corsairs,Minion,Pirate,Common,4,4,4,"Cloak, Drain, Deploy",Deal 2 damage to a minion,Shoots from between dimensions. You can't shoot back.,True,CORE,
pc_ransack,Ransack,Phantom Corsairs,Spell,,Common,4,,,,Steal 2 random cards from your opponent's hand,Grand theft card game.,True,CORE,
pc_evasive_maneuver,Evasive Maneuver,Phantom Corsairs,Spell,,Common,4,,,,Return all friendly minions to your hand. They cost (1) less. Draw a card,Retreat isn't failure. It's REPOSITIONING.,True,CORE,
pc_phantom_duelist,Phantom Duelist,Phantom Corsairs,Minion,Pirate,Common,5,5,5,"Swift, Cloak",Deal 5 damage to a random enemy,Fights you. You can't fight back. Space pirate honor.,True,CORE,
pc_ghost_fleet_raider,Ghost Fleet Raider,Phantom Corsairs,Minion,Pirate,Common,5,4,6,"Swift, Deploy",Deal 5 damage to a random enemy,Loots first. Asks questions to the wreckage.,True,CORE,
pc_identity_theft,Identity Theft,Phantom Corsairs,Spell,,Common,5,,,,Discover a copy of a card in your opponent's hand. It costs (0),I'll be you today. But BETTER.,True,CORE,
pc_spectral_ambush,Spectral Ambush,Phantom Corsairs,Spell,,Common,5,,,,Deal 3 damage to all enemy minions. Your and CLOAK minions are unaffected,Our ghosts? Fine. Their everything? Wrecked.,True,CORE,
pc_phantom_dreadnought,Phantom Dreadnought,Phantom Corsairs,Minion,Pirate,Common,6,6,6,"Drain, Swift, Deploy",Deal 3 damage to a random enemy,You can't see it. You can't target it. You CAN panic.,True,CORE,
pc_grand_heist,Grand Heist,Phantom Corsairs,Spell,,Common,6,,,,Draw a card,Your deck now. My deck too. Two decks. One winner.,True,CORE,
pc_ghost_galleon,Ghost Galleon,Phantom Corsairs,Minion,Pirate,Common,7,7,7,"Cloak, Blitz, Deploy",Summon two 3/3 Phantom Pirates with CLOAK,A ghost ship crewed by ghost pirates. Obviously.,True,CORE,
pc_mutiny,Mutiny,Phantom Corsairs,Spell,,Common,7,,,,Take control of an enemy minion with the highest Attack. It gains,Your best minion works for us now. And you can't even target it.,True,CORE,
pc_stowaway,Stowaway,Phantom Corsairs,Minion,Pirate,Common,1,1,2,"Blitz, Cloak, Deploy",Deal 1 damage to a random enemy,Tiny. Sneaky. Carrying a LEGENDARY? What?!,True,CORE,
pc_smugglers_cache,Smuggler's Cache,Phantom Corsairs,Structure,,Common,2,,,Deploy,"Whenever you play a stolen card, draw a card",Every stolen card comes with a free bonus card. Pirate loyalty program.,True,CORE,
pc_first_mate_phantom,First Mate Phantom,Phantom Corsairs,Minion,Pirate,Rare,3,3,5,"Lethal, Deploy","Whenever you play a stolen card, gain +2/+1",Fueled by theft. Literally.,True,CORE,
pc_ghostly_sabotage,Ghostly Sabotage,Phantom Corsairs,Spell,,Rare,3,,,,Draw a card,Nice thing you had there. HAD.,True,CORE,
pc_spectral_assassin,Spectral Assassin,Phantom Corsairs,Minion,Pirate,Rare,4,5,3,"Swift, Cloak, Deploy",Draw a card,The last thing you never see.,True,CORE,
pc_contraband_market,Contraband Market,Phantom Corsairs,Structure,,Rare,4,,,Deploy,Deal 4 damage to a random enemy,Black market prices. Everything must go (into your deck).,True,CORE,
pc_phantom_swap,Phantom Swap,Phantom Corsairs,Spell,,Rare,3,,,,Swap a friendly minion with a random enemy minion. Your minion gains,Theirs is yours. Yours is theirs. But yours is PHASE so ha.,True,CORE,
pc_corsair_ambush,Corsair Ambush,Phantom Corsairs,Spell,,Rare,5,,,,Summon three 3/2 Phantom Pirates with CLOAK and SWIFT,Three ghosts walk into your board. This isn't a joke.,True,CORE,
pc_ethereal_smuggler,Ethereal Smuggler,Phantom Corsairs,Minion,Pirate,Rare,4,4,4,"Drain, Lethal, Deploy",Draw a card,Steals it TWICE. Because once wasn't insulting enough.,True,CORE,
pc_haunt,Haunt,Phantom Corsairs,Spell,,Rare,3,,,,Give an enemy minion -3 Attack. Gain +3 Attack on a friendly minion,Drains their power. Fills yours. Hauntingly efficient.,True,CORE,
pc_wraithship_bombardment,Wraithship Bombardment,Phantom Corsairs,Spell,,Rare,6,,,,Deal 2 damage to all enemies for each minion you control,Ghost ships have ghost cannons. Ghost cannons do REAL damage.,True,CORE,
pc_fence,Fence,Phantom Corsairs,Minion,Pirate,Rare,5,4,5,"Double Strike, Deploy",Deal 2 damage to a random enemy,Upgrades your stolen goods. Premium theft.,True,CORE,
pc_void_anchor,Void Anchor,Phantom Corsairs,Structure,,Rare,4,,,"Deploy, Cloak","Your minions have +2 Attack. Whenever a minion attacks, give it CLOAK","Attacks, vanishes, attacks again. Ghost protocol.",True,CORE,
pc_ghostly_crew,Ghostly Crew,Phantom Corsairs,Minion,Pirate,Rare,6,4,5,"Blitz, Deploy",Draw a card,Double the ghosts. Double the trouble. Zero the counterplay.,True,CORE,
pc_plunderstorm,Plunderstorm,Phantom Corsairs,Spell,,Rare,5,,,,Draw a card,More pirates = more theft. Simple pirate economics.,True,CORE,
pc_phase_stalker,Phase Stalker,Phantom Corsairs,Minion,Pirate,Rare,5,5,4,"Swift, Deploy",Draw a card,Hits you AND robs you. Simultaneously.,True,CORE,
pc_netherstorm_portal,Netherstorm Portal,Phantom Corsairs,Structure,,Rare,5,,,Deploy,Deal 2 damage to a random enemy,Free daily delivery of someone else's cards.,True,CORE,
pc_phantom_admiral,PHANTOM ADMIRAL,Phantom Corsairs,Minion,Pirate,Epic,7,6,7,"Swift, Cloak, Deploy","PHASE. ALL Pirates have PHASE. Whenever you play a card, steal a random card from your opponent's hand. Stolen cards cost (0).",The Admiral doesn't command a fleet. The Admiral commands a GHOST fleet.,True,CORE,
pc_dimensional_heist,Dimensional Heist,Phantom Corsairs,Spell,,Epic,8,,,,Draw a card,Your deck is their deck. Their deck is still their deck. But you have MORE.,True,CORE,
pc_spectral_flagship,Spectral Flagship,Phantom Corsairs,Minion,Pirate,Epic,7,5,8,"Barrier, Deploy",Give a minion +2/+2,The flagship that can't be hit. Crewed by pirates that can't be hit. Firing cannons that DEFINITELY hit.,True,CORE,
pc_captain_shadowvane,CAPTAIN SHADOWVANE,Phantom Corsairs,Minion,Pirate,Legendary,8,7,7,"Swift, Blitz, Deploy","PHASE. DEPLOY: Steal your opponent's ENTIRE hand. For the rest of the game, all cards you play are treated as ""stolen."" Stolen cards cost (0) and deal 3 damage to the enemy Hero when played.",He doesn't plunder ships. He plunders DIMENSIONS.,True,CORE,
pc_the_netherstorm,THE NETHERSTORM,Phantom Corsairs,Minion,,Legendary,9,0,13,"Drain, Deploy",Draw a card,It's not a ship. It's not a storm. It's the END of your opponent's entire game plan.,True,CORE,
