id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
cry_m22,Arcane Familiar,Crystalline,Minion,,Rare,3,2,2,,"Whenever you cast a spell, gain +1/+1 permanently.",Every spell makes it bigger. Permanently. By mid-game it's a 9/9 that started as a 2/2. Growth through spellcasting.,True,CORE,
cry_m23,Volatile Crystal,Crystalline,Minion,Elemental,Rare,2,0,3,LAST WORDS,LAST WORDS: Cast a random spell from your hand for free. (Targets chosen randomly.),Dies. Flings a spell on the way out. It's a crystal piñata full of random violence. The Crystalline LOVE piñatas.,True,CORE,
cry_s24,Spell Echo,Crystalline,Spell,,Rare,4,,,,The next spell you cast this turn is cast twice. (Targets chosen randomly for the second cast.),Cast one spell. Get two. The copy goes wherever it WANTS. You don't control the echo. The echo controls ITSELF.,True,CORE,
cry_s25,CHAIN IGNITION,Crystalline,Spell,,Epic,2,,,,Deal 1 damage to a random enemy. Cast this again for each spell you've cast this turn. (Includes this one.),One damage. Then one more. Then one MORE. Cast five spells before this and it fires SIX times. It doesn't stop. It counts your spells and it fires THAT many bolts and every single one is aimed at something your opponent likes.,True,CORE,
cry_m24,LIVING SPELLBOOK,Crystalline,Minion,,Epic,4,3,5,DEPLOY,"DEPLOY: Discover a spell. It costs (0). Whenever you cast a spell, add a random spell to your hand that costs (1) less than the spell you cast.","It's not a book. It's a FACTORY. Every spell you cast, it manufactures a CHEAPER one. Play a 5-cost spell, get a random 4-cost for free. The shelf restocks itself. FOREVER.",True,CORE,
cry_s26,RESONANCE OVERLOAD,Crystalline,Spell,,Epic,5,,,,"Trigger ALL friendly RESONATE effects three times. For the rest of this turn, your spells trigger RESONATE an additional time.",Triple boing. Then every spell after this double-triggers every crystal. It's not a spell. It's a resonance EARTHQUAKE. Your board lights up like a crystal chandelier full of grenades.,True,CORE,
cry_m25,PRISMATIC ANOMALY,Crystalline,Minion,Elemental,Epic,3,2,4,RESONATE,RESONATE: Cast a copy of the spell that triggered this. (Targets chosen randomly.) Your spells cost (1) less.,You cast a spell. It copies that spell. The copy triggers ANOTHER resonate. Which copies AGAIN. It's a spell mirror that doesn't know when to stop reflecting. The Crystalline are terrified of it. They also worship it.,True,CORE,
cry_s27,THE GRAND CASCADE,Crystalline,Spell,,Epic,8,,,,Cast a copy of every spell you've cast this turn. (Targets chosen randomly.) Draw 3 cards.,Everything you cast today? Cast it ALL AGAIN. Five spells? Five free copies. Ten spells? The game is already over but here are TEN MORE. Plus three cards because the Crystalline believe in EXCESS.,True,CORE,
cry_m26,GEODE SAGE LUMIS,Crystalline,Minion,,Legendary,9,6,8,DEPLOY,"DEPLOY: For the rest of the game, your spells cost (2) less and trigger all friendly RESONATE effects twice. Your Hero Power reads: ""The next spell you cast costs (0).""",He didn't master Prismora's crystals. He IS Prismora's crystals. Every facet of his body is a spell amplifier. He sneezes and three RESONATE effects trigger. He's not a mage. He's a geological EVENT.,True,CORE,
cry_m27,THE INFINITE PRISM,Crystalline,Minion,Elemental,Legendary,10,0,15,,Can't attack. End of Turn: Cast a copy of every spell you cast this turn. (Targets chosen randomly.) Your spells cost (1) less.,It does nothing. Then it does EVERYTHING. Twice. Every spell you cast gets replayed at end of turn for free. It's a crystal that watches you all day then COPIES YOUR HOMEWORK. And it gets an A.,True,CORE,
cry_m28,ARCHMAGE PRISCILLA,Crystalline,Minion,,Legendary,7,5,6,DEPLOY,"DEPLOY: Fill your hand with random spells. They all cost (1). For the rest of the game, whenever you cast a spell, your next spell costs (1) less.",A hand full of cheap spells. Every cast discounts the next. She doesn't run out. She doesn't slow down. She casts until the board is empty and her hand is full AGAIN.,True,CORE,
cry_m29,CRYSTAL ANARCHIST ZAEL,Crystalline,Minion,,Legendary,4,3,4,DEPLOY,"DEPLOY: For the rest of the game, whenever EITHER player casts a spell, trigger all YOUR RESONATE effects.",He hijacked resonance itself. Now YOUR opponent's spells power YOUR crystals. They cast a heal? Your board grows. They cast removal? Your board grows. Every spell in the game is HIS fuel.,True,CORE,
cry_s28,THE FIRST SPELL,Crystalline,Spell,,Legendary,0,,,,Costs (0). Deal 1 damage to a random enemy for each spell you've cast this ENTIRE game. Draw 3 cards. This can only be cast once per game.,Zero mana. Maximum damage. It counts every spell you ever cast and delivers the bill in one hit. Turn 15 after 20 spells? Twenty damage and three cards. It's the universe's invoice. It's due NOW. One cast. Ever. Make it count.,True,CORE,
