id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
hive_explosive_hatchlings,Explosive Hatchlings,Hivemind,Spell,,Rare,3,,,,Summon three 1/1 Drones. Give them Deal 1 damage to all enemies,"Suicide bomber bugs. Yes, really.",True,CORE,
hive_hivemind_synapse,Hivemind Synapse,Hivemind,Spell,,Rare,4,,,,Deal 3 damage,1/1s become 2/2s. Seven 2/2s? That's 14/14. BUG MATH.,True,CORE,
hive_brood_pit,Brood Pit,Hivemind,Structure,,Rare,4,,,Deploy,Start of Turn: Summon two 1/1 Drones. Your bonuses count Drones twice,The factory never stops. The factory never SLEEPS.,True,CORE,
hive_parasite_injector,Parasite Injector,Hivemind,Minion,Insect,Rare,3,2,4,"Double Strike, Deploy","Plant a Parasite on an enemy minion. At start of your turn, it takes 2 damage and you summon a 1/1 Drone",It's not a hug. It's an INFESTATION.,True,CORE,
hive_swarm_frenzy,Swarm Frenzy,Hivemind,Spell,,Rare,4,,,,Deal 3 damage,CHARGE! ALL OF YOU! EVERYWHERE! AT ONCE!,True,CORE,
hive_queens_champion,Queen's Champion,Hivemind,Minion,Insect,Rare,5,5,5,"Drain, Lethal, Deploy","BARRIER. Whenever this kills a minion, summon two 1/1 Drones",Kills for the queen. Breeds for the queen. IS the queen's favorite.,True,CORE,
hive_adaptive_carapace,Adaptive Carapace,Hivemind,Spell,,Rare,3,1,1,Guardian,Give a minion +1/+1 for each other friendly minion. Give it GUARDIAN,Full board? That's +6/+6 and GUARDIAN. Bug hug.,True,CORE,
hive_infestation,Infestation,Hivemind,Spell,,Rare,5,,,,Summon 1/1 Drones on your opponent's board until it's full. Those Drones attack their own Hero each turn,Congratulations! Your board is infested. And attacking YOU.,True,CORE,
hive_centipede_horror,Centipede Horror,Hivemind,Minion,Insect,Rare,6,4,5,"Lethal, Deploy",Gain +1/+1 for each friendly minion that died this game,It remembers every fallen drone. It carries their RAGE.,True,CORE,
hive_chitinous_evolution,Chitinous Evolution,Hivemind,Spell,,Rare,5,,,,Transform all 1/1 Drones you control into 3/3 Evolved Drones with,Remember those harmless little bugs? They're 3/3s now. Whoops.,True,CORE,
hive_colony_collapse,Colony Collapse,Hivemind,Spell,,Rare,6,,,,Destroy all friendly minions. Deal 2 damage to all enemies for each minion destroyed,The hive sacrifices itself. The enemy dies anyway.,True,CORE,
hive_brood_carrier,Brood Carrier,Hivemind,Minion,Insect,Rare,5,4,7,"Lethal, Drain, Deploy",Deal 2 damage to a random enemy,A walking nursery. A dying nursery is even scarier.,True,CORE,
hive_pheromone_bomb,Pheromone Bomb,Hivemind,Spell,,Rare,3,,,,"Give a minion ""Summon 1/1 Drones equal to this minion's Attack.""",Die big? Spawn big. Die REALLY big? Spawn a LOT.,True,CORE,
hive_spawning_chamber,Spawning Chamber,Hivemind,Structure,,Rare,5,1,1,Deploy,"Whenever you summon a Drone, give all other Drones +1/+1",Every drone makes every other drone stronger. Exponential bugs.,True,CORE,
hive_the_brood_mother,THE BROOD MOTHER,Hivemind,Minion,Insect,Epic,8,6,9,"Lethal, Double Strike, Deploy",Deal 4 damage to a random enemy,She doesn't breed drones. She breeds ARMIES.,True,CORE,
hive_swarm_singularity,Swarm Singularity,Hivemind,Spell,,Epic,8,,,,Deal 5 damage to all enemy minions,Seven become one. One becomes UNSTOPPABLE.,True,CORE,
hive_plague_bearer,Plague Bearer,Hivemind,Minion,Insect,Epic,6,3,6,Deploy,"Whenever a Drone is summoned, deal 1 damage to all enemies. Whenever a Drone dies, summon a 1/1 Drone",Drones arrive. Enemies take damage. Drones die. More drones arrive. Loop forever.,True,CORE,
hive_overmind_skryx,OVERMIND SKRYX,Hivemind,Minion,Insect,Legendary,9,5,11,"Swift, Drain, Deploy, Swift, Lethal, Drain","SWARM. Drones have SWARM, SWIFT, and LETHAL. Start of Turn: Fill your board with 1/1 Drones. Whenever a Drone attacks, summon another Drone.",One mind controls them all. One mind says: MORE.,True,CORE,
hive_the_living_hive,THE LIVING HIVE,Hivemind,Minion,Insect,Legendary,8,3,4,"Lethal, Deploy",Deal 4 damage to a random enemy,Kill it. Go ahead. See what happens. EVERY. SINGLE. TIME.,True,CORE,
